Image Path,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
Images/0001.png,"The Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine",Palestine,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
Images/0002.png,"The Ibrahimi Mosque (Cave of the Patriarchs) in Hebron, one of the oldest and most significant religious and historical sites in Palestine",Palestine,Sunny,Morning,Spring,Religious,Curiosity
Images/0003.png,"The ancient ruins in Sebastia near Nablus, showing stone columns and archaeological remains from the Roman period under a bright blue sky",Palestine,Sunny,Afternoon,Summer,Sightseeing,Adventure
Images/0004.png,"Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture",Palestine,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0005.png,"Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape",Palestine,Sunny,Morning,Spring,Sightseeing,Curiosity
Images/0006.png,"The Eiffel Tower illuminated in golden lights against a dark blue sky, highlighting its detailed iron structure from a low-angle perspective",France,Not Clear,Afternoon,Not Clear,Sightseeing,Romance
Images/0007.png,The Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds,China,Sunny,Morning,Summer,Sightseeing,Adventure
Images/0008.png,"A beautiful sunset view in Santorini, Greece, showing cliffside cafés overlooking the sea and islands, with soft pastel colors in the sky",Greece,Sunny,Evening,Summer,Relaxing,Happiness
Images/0009.png,"A stunning nighttime panorama of New York City’s skyline, with illuminated skyscrapers reflecting beautifully on the water",United States,Sunny,Evening,Winter,Sightseeing,Excitement
Images/0010.png,"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0011.png,Walking through the endless vermilion torii gates of Fushimi Inari Shrine,Japan,Sunny,Morning,Spring,Religious,Nostalgia
Images/0012.png,White buildings with blue domes overlooking the calm Aegean Sea,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0013.png,The ancient Incan citadel set high in the Andes Mountains,Peru,Cloudy,Morning,Not Clear,Sightseeing,Adventure
Images/0014.png,The turquoise waters of Moraine Lake surrounded by snowy peaks,Canada,Sunny,Afternoon,Summer,Water Activities,Excitement
Images/0015.png,Elephants walking through the tall grass of the savanna,Tanzania,Sunny,Afternoon,Fall,Sightseeing,Curiosity
Images/0016.png,The bright neon lights and crowds of Times Square,United States,Not Clear,Evening,Winter,Sightseeing,Excitement
Images/0017.png,Vibrant coral reefs teeming with underwater life,Australia,Sunny,Morning,Summer,Water Activities,Curiosity
Images/0018.png,Green aurora borealis dancing over a snowy landscape,Iceland,Snowy,Evening,Winter,Relaxing,Melancholy
Images/0019.png,The famous Treasury carved into the red sandstone rock face,Jordan,Sunny,Afternoon,Spring,Sightseeing,Adventure
Images/0020.png,Colorful houses stacked on the steep cliffs of Positano,Italy,Sunny,Afternoon,Summer,Relaxing,Romance
Images/0021.png,"A small town on top of a cliff with sea view, the place looks clam and the people seems kind",italy,Sunny,Afternoon,Spring,Water Activities,Excitement
Images/0022.png,"A town between a huge mountaine and ocean on the other side, looks like a good place",south africa,Sunny,Morning,Summer,Water Activities,Adventure
Images/0023.png,"Buildings and some skyscrapers turned on with a mountiane in the background with snow on top, like the culture and game tournament",japan,Not Clear,Evening,Fall,Relaxing,Romance
Images/0024.png,"Some house with mountain in the background and green aura lights in the sky, the aura lines in the sky is one of the best things in this world",sweden,Not Clear,Evening,Winter,Relaxing,Excitement
Images/0025.png,"A town with house and split with river and cant see the end of the town because of the fog, one of the best places if u like cars which I do",germany,Cloudy,Afternoon,Winter,Sightseeing,Happiness
Images/0026.png,"4 pyramids 3 in the back and one small in front of them, the last of the seven wonders worth a visit",Egypt,Sunny,Morning,Spring,Sightseeing,Nostalgia
Images/0027.png,"Tow big building built with red stone with 1800 style, have some good places to visit and I think I will enjoy it",russia,Cloudy,Afternoon,Fall,Sightseeing,Happiness
Images/0028.png,"Small town with snow over the house roofs, love the nature and the country have a lot of it",romania,Snowy,Evening,Winter,Sightseeing,Excitement
Images/0029.png,"Mill in the middle of field and a river running throw the mill, best place to forget everything and connect with nature",netherlands,Cloudy,Afternoon,Fall,Relaxing,Adventure
